Name,X,Y
ctg7180000067077_Component#_1,-0.169522038,-1.257844185
ctg7180000067157_Component#_1,5.364130298,0.425464293
ctg7180000067168_Component#_1,-1.674474781,0.951407955
ctg7180000067168_Component#_2,-1.06218149,1.383817379
ctg7180000067180_Component#_1,5.496011019,-2.058842729
ctg7180000067181_Component#_1,5.536519886,-2.035133577
ctg7180000067183_Component#_1,5.449836888,-1.408753213
ctg7180000067187_Component#_1,-1.475881888,0.844994104
ctg7180000067187_Component#_2,5.534740844,-1.78617951
ctg7180000067194_Component#_1,-1.501589164,1.164363377
ctg7180000067212_Component#_1,-1.504587086,1.197962154
ctg7180000067223_Component#_1,-0.930197904,-0.250566827
ctg7180000067223_Component#_2,-1.207356701,-0.232820732
ctg7180000067227_Component#_1,-1.144807479,1.399291037
ctg7180000067228_Component#_1,-1.56869327,0.865857028
ctg7180000067228_Component#_3,-1.37403606,1.03748661
ctg7180000067228_Component#_4,0.49246345,-0.697894727
ctg7180000067233_Component#_1,-1.647013401,0.53688781
ctg7180000067238_Component#_1,-1.361015314,-0.282884296
ctg7180000067238_Component#_2,-1.678026101,0.944722045
ctg7180000067240_Component#_1,-1.39243848,1.081396722
ctg7180000067241_Component#_1,-1.263490504,1.357072919
ctg7180000067243_Component#_1,0.438228213,-0.740007704
ctg7180000067245_Component#_1,-1.356598708,1.26962197
ctg7180000067247_Component#_1,-1.415146167,1.152673064
ctg7180000067264_Component#_1,5.467717896,-1.38608279
ctg7180000067271_Component#_1,-1.051070156,1.354195224
ctg7180000067271_Component#_2,-1.339543394,1.369255419
ctg7180000067272_Component#_1,-1.451977254,-0.324851034
ctg7180000067272_Component#_2,5.064222659,-2.503535075
ctg7180000067280_Component#_1,-0.947552481,-0.266244255
ctg7180000067280_Component#_2,-0.080935783,-1.134145266
ctg7180000067290_Component#_1,-1.354263315,-0.276689112
ctg7180000067290_Component#_2,-1.628424158,0.535077476
ctg7180000067309_Component#_1,-0.149516718,-1.225225537
ctg7180000067321_Component#_1,-1.080899864,1.400304355
ctg7180000067325_Component#_1,5.409574607,-1.439642179
ctg7180000067326_Component#_1,5.439572419,-1.430269314
ctg7180000067344_Component#_1,-0.436272727,-1.495067689
ctg7180000067361_Component#_1,-1.656903866,0.947950188
ctg7180000067361_Component#_2,-1.503881272,1.178786761
ctg7180000067363_Component#_1,5.368971766,0.393907986
ctg7180000067365_Component#_1,-0.389747609,-1.461598535
