Name,X,Y
ctg7180000067077_Component#_1,-28.360016,17.635765
ctg7180000067157_Component#_1,-14.874885,20.868233
ctg7180000067168_Component#_1,-0.23173375,-13.349178
ctg7180000067168_Component#_2,14.403821,-30.878521
ctg7180000067180_Component#_1,63.13138,16.241823
ctg7180000067181_Component#_1,65.66033,17.827692
ctg7180000067183_Component#_1,55.109562,18.531006
ctg7180000067187_Component#_1,-8.830579,-8.763289
ctg7180000067187_Component#_2,59.3884,16.664473
ctg7180000067194_Component#_1,-4.3676853,-15.754914
ctg7180000067212_Component#_1,1.7871541,-15.44946
ctg7180000067223_Component#_1,-17.052092,2.8434367
ctg7180000067223_Component#_2,-14.67558,-0.7324285
ctg7180000067227_Component#_1,12.203879,-22.602789
ctg7180000067228_Component#_1,-7.45469,-10.354409
ctg7180000067228_Component#_3,-10.022668,-9.582699
ctg7180000067228_Component#_4,-26.149364,8.328828
ctg7180000067233_Component#_1,1.190491,-3.5250387
ctg7180000067238_Component#_1,-13.410873,2.596328
ctg7180000067238_Component#_2,0.025819208,-11.311513
ctg7180000067240_Component#_1,7.3749576,-10.435489
ctg7180000067241_Component#_1,8.452308,-16.219889
ctg7180000067243_Component#_1,-24.170229,10.398494
ctg7180000067245_Component#_1,4.259855,-23.401634
ctg7180000067247_Component#_1,2.7927797,-20.46394
ctg7180000067264_Component#_1,56.582565,19.504206
ctg7180000067271_Component#_1,19.481403,-32.82502
ctg7180000067271_Component#_2,6.699113,-16.438995
ctg7180000067272_Component#_1,-3.3278284,6.452688
ctg7180000067272_Component#_2,57.292824,20.55538
ctg7180000067280_Component#_1,-18.55944,0.34445527
ctg7180000067280_Component#_2,-25.717686,14.927424
ctg7180000067290_Component#_1,-14.002101,2.3238096
ctg7180000067290_Component#_2,1.5521383,-3.208312
ctg7180000067309_Component#_1,-28.955439,15.477192
ctg7180000067321_Component#_1,14.237358,-27.375113
ctg7180000067325_Component#_1,56.33327,17.508936
ctg7180000067326_Component#_1,56.43125,19.577864
ctg7180000067344_Component#_1,-31.059341,22.675934
ctg7180000067361_Component#_1,-4.070054,-14.233246
ctg7180000067361_Component#_2,-4.3151703,-15.802198
ctg7180000067363_Component#_1,-14.97606,22.050713
ctg7180000067365_Component#_1,-31.57349,20.987577
ctg7180000067382_Component#_1,-18.221369,-1.8136903
ctg7180000067382_Component#_2,10.630594,-23.684874
ctg7180000067397_Component#_1,-14.431663,-0.03563728
ctg7180000067398_Component#_1,2.6838665,-20.935429
ctg7180000067398_Component#_2,57.650646,15.745165
ctg7180000067403_Component#_1,-7.256747,-6.9498024
ctg7180000067405_Component#_1,65.02908,18.65404
ctg7180000067411_Component#_1,17.418148,-31.09822
ctg7180000067413_Component#_1,-25.443407,16.577076
ctg7180000067416_Component#_1,-9.644796,3.960099
ctg7180000067416_Component#_2,-13.216689,2.5682676
ctg7180000067417_Component#_1,-17.665493,-3.1377068
ctg7180000067417_Component#_2,-33.09765,25.28986
ctg7180000067419_Component#_2,-24.929794,10.332999
ctg7180000067423_Component#_1,10.125453,-26.986443
ctg7180000067434_Component#_1,7.5072856,-12.002652
ctg7180000067441_Component#_1,65.98977,14.475224
ctg7180000067446_Component#_1,6.652776,-15.150231
ctg7180000067450_Component#_1,65.06694,15.319778
ctg7180000067453_Component#_1,-11.978296,3.120305
ctg7180000067454_Component#_1,-11.78426,0.6268966
ctg7180000067454_Component#_2,-28.965328,16.7125
ctg7180000067454_Component#_3,-8.786587,7.4838147
ctg7180000067454_Component#_4,60.990257,18.08392
ctg7180000067457_Component#_3,-3.4625156,8.319379
ctg7180000067460_Component#_1,7.5821643,-11.470702
ctg7180000067468_Component#_2,-4.405261,8.489566
ctg7180000067471_Component#_1,-0.0909179,-10.011693
ctg7180000067511_Component#_1,65.35026,14.187029
ctg7180000067512_Component#_1,-33.021408,23.501194
ctg7180000067526_Component#_2,66.7552,15.680987
ctg7180000067530_Component#_1,-27.486637,16.943287
ctg7180000067530_Component#_2,15.898644,-32.569138
ctg7180000067545_Component#_1,56.2024,17.517262
ctg7180000067567_Component#_2,19.774744,-31.891996
ctg7180000067568_Component#_1,59.699062,18.339142
ctg7180000067595_Component#_1,13.401849,-23.128397
ctg7180000067604_Component#_1,10.506674,-29.683653
ctg7180000067612_Component#_1,-10.93568,3.2490802
ctg7180000067635_Component#_1,-27.19716,8.28134
ctg7180000067642_Component#_1,-13.223919,3.179812
ctg7180000067663_Component#_1,-12.001162,-5.623355
ctg7180000067667_Component#_1,-3.165254,8.092728
ctg7180000067710_Component#_1,14.909199,-33.440697
ctg7180000067739_Component#_2,-10.215746,6.0929074
ctg7180000067742_Component#_1,5.171858,-6.3875446
ctg7180000067744_Component#_1,55.624336,19.463446
ctg7180000067761_Component#_1,-17.7001,-3.2075794
ctg7180000067763_Component#_1,8.696077,-28.798967
ctg7180000067776_Component#_1,14.399069,-32.242805
ctg7180000067806_Component#_1,8.316558,-20.984266
ctg7180000067806_Component#_2,15.999224,-31.19612
ctg7180000067808_Component#_1,-14.832716,-0.6342959
ctg7180000067868_Component#_2,-24.985296,11.354574
ctg7180000067872_Component#_1,11.284348,-18.23579
ctg7180000067873_Component#_1,-11.784224,0.6274176
ctg7180000067904_Component#_1,-7.7082467,6.2920175
ctg7180000067907_Component#_1,-3.9731178,-2.4694128
ctg7180000067909_Component#_1,-7.8315244,-4.7391024
ctg7180000067910_Component#_1,-27.50356,14.860646
ctg7180000067910_Component#_2,-6.574274,-11.583228
ctg7180000067913_Component#_2,-12.094151,-3.427963
ctg7180000067913_Component#_3,2.167992,-11.449652
ctg7180000067915_Component#_1,-1.7032063,-13.413279
ctg7180000067949_Component#_1,-4.336924,-5.943989
ctg7180000067954_Component#_1,12.533485,-30.893715
ctg7180000067975_Component#_1,-15.107506,4.6137137
ctg7180000067979_Component#_1,-10.022917,-9.582538
