X,Y,Name
-462.35254,591.6366,g101
-938.77515,366.11414,g117
911.4264,-747.8109,g120
562.2665,-350.1877,g128
-1277.2844,750.9296,g13
-1099.5682,-1050.3276,g137
-126.074265,153.78273,g150
310.64072,92.09512,g161
-727.0567,-674.6277,g168
804.2090,111.67441,g171
-937.58093,-203.45135,g172
-545.81586,-1250.5363,g173
491.60782,550.60095,g175
1190.4984,-229.28671,g185
-218.9933,-790.66864,g186
582.32336,-1223.2592,g215
57.48373,-323.84357,g470
-1435.1304,92.085075,g503
-560.29614,96.39211,g530
434.9134,1089.2461,g546
-1366.0312,-516.3566,g563
1034.3839,620.4106,g570
-395.80157,-327.73138,g572
17.756357,623.8637,g583
-171.05627,1136.4454,g595
8.584861,-1303.8942,g596
279.7540,-770.23065,g600
-742.3117,1039.2959,g74
