X,Y,Name
282.08075,177.56735,g101
-592.37134,-0.5075546,g117
261.36844,582.63586,g120
-270.40387,364.301,g128
145.61674,378.21722,g13
287.6236,-80.761795,g137
-462.49533,468.0839,g150
472.13406,-147.34943,g161
611.8893,252.45369,g168
-69.908394,444.87753,g171
396.99396,376.2383,g172
-373.60175,-74.21756,g173
-422.70612,184.33301,g175
-50.353813,-57.826935,g185
-217.04308,58.334232,g186
123.29454,-211.3862,g215
125.38835,15.304374,g470
122.3966,-521.4823,g503
63.322697,190.8962,g530
-28.760052,-341.7686,g546
615.7480,-299.99658,g563
-119.66985,222.88815,g570
-427.06476,-309.98944,g572
314.47485,-359.85843,g583
-213.66911,-481.66672,g595
475.5107,71.82984,g596
-6.738883,656.035,g600
-195.40843,-205.79428,g74
