X,Y,Name
-7.4193015,-5.583941,g101_#1
-8.903697,-7.8916464,g101_#2
8.555405,9.431373,g101_#3
9.7470875,7.7140446,g101_#4
10.656657,2.7026517,g101_#5
6.527575,9.273786,g101_#6
5.6372886,7.8644342,g117_#1
-10.297855,-3.0539868,g117_#2
-7.9955845,-9.764817,g117_#3
-8.847735,-10.365891,g117_#4
-6.56489,-6.487377,g117_#5
3.8240294,0.06918589,g117_#6
-6.6197586,-10.912929,g120_#1
4.4943075,-7.850425,g120_#2
9.690124,8.640743,g120_#3
7.674158,4.456978,g120_#4
5.9579163,4.6419907,g120_#5
-4.534467,-5.154688,g128_#1
4.0608,-6.6395683,g128_#2
-5.62692,-2.523739,g128_#3
1.7064452,4.967892,g128_#4
-3.5721977,-4.8428497,g128_#5
-7.474098,-6.474546,g137_#1
-4.0934234,-10.041445,g137_#2
3.9211903,5.6042438,g137_#3
6.2309804,8.753341,g137_#4
2.6695337,1.5639637,g137_#5
-11.14802,-3.9814172,g13_#1
7.9093933,4.4201307,g13_#2
6.6077347,6.531986,g13_#3
-5.272339,-5.034673,g13_#4
-7.710621,-10.996905,g13_#5
-0.123279236,-6.561956,g13_#6
3.3426824,-5.741834,g150_#1
5.4734373,7.889733,g150_#2
2.9520454,-7.3749714,g150_#3
-2.2288373,-6.0157886,g150_#4
3.262639,-6.7381063,g150_#5
-5.4356837,-8.935483,g150_#6
5.272573,-7.437961,g161_#1
1.4178253,-0.5573273,g161_#2
-3.318187,-3.0146484,g161_#3
-1.4849759,-0.07517472,g161_#4
5.674984,-3.906838,g161_#5
5.600003,6.85528,g168_#1
-9.614167,-7.931534,g168_#2
-7.5924263,-8.523788,g168_#3
5.0308266,-1.1747752,g168_#4
-7.4023304,-7.5037103,g168_#5
-7.569896,-3.1512792,g168_#6
2.7936192,7.8241825,g171_#1
10.033073,3.9625876,g171_#2
2.5096316,4.30234,g171_#3
-3.0614402,-6.714461,g171_#4
3.512403,0.23754379,g171_#5
2.8877535,-5.0077853,g171_#6
-4.371033,-8.461433,g171_#7
-1.7253345,-4.2223434,g172_#1
5.6927543,5.7164245,g172_#2
5.3105288,8.823941,g172_#3
-8.2163515,-4.522538,g172_#4
6.101798,3.3072555,g173_#1
5.9151206,3.7655787,g173_#2
3.90106,2.4572318,g173_#3
3.6504498,8.15377,g173_#4
1.075805,-1.6867486,g173_#5
-2.6691024,-4.039253,g173_#6
-3.4886296,-1.8937992,g175_#1
5.389014,-7.385713,g175_#2
3.660049,2.4462032,g175_#3
-2.926619,-6.600722,g175_#4
-2.0568693,-1.5201097,g185_#1
-1.5504986,-4.6442404,g185_#2
8.164063,6.8270693,g185_#3
-5.6308107,-12.8623,g185_#4
-5.497202,-9.843971,g185_#5
-2.0568664,-1.5201072,g185_#6
6.592738,8.438147,g215_#1
-1.2459449,-4.1818795,g215_#2
-3.289215,-5.74623,g215_#3
-6.5178127,-6.56724,g215_#4
3.9860904,-4.886404,g215_#5
2.6370566,4.021181,g215_#6
3.1411233,-3.7829838,g470_#1
4.5323706,-5.6145062,g470_#2
7.7962117,7.8951817,g470_#3
-8.506613,-8.817819,g503_#1
9.810449,5.2290998,g503_#2
8.575418,8.736251,g503_#3
-6.0428762,-4.255741,g503_#4
8.444799,5.7782345,g503_#5
3.7274826,6.6617217,g503_#6
-9.121464,-6.5838118,g530_#1
6.2284517,3.5560346,g530_#2
7.2354016,5.6978045,g530_#3
0.038502157,3.5763397,g530_#4
8.008933,10.172635,g530_#6
2.6014843,7.3193097,g546_#1
9.485933,2.9395037,g546_#2
1.6860852,3.7380528,g546_#3
5.097855,-5.298013,g546_#4
3.7182672,-4.133578,g546_#5
-5.538628,-1.8134791,g546_#6
5.115579,6.102287,g563_#1
-6.784318,-4.7853565,g563_#2
-3.5979633,-3.9522624,g563_#3
-6.5287876,-12.1401415,g563_#4
-6.2241054,-12.28227,g563_#5
1.2558659,2.737589,g563_#6
4.2657075,-0.83938414,g570_#1
10.427183,4.5007687,g570_#2
-6.8677874,-9.36748,g570_#3
3.6073296,-5.60049,g570_#4
-4.180988,-10.1338215,g570_#5
6.5353413,-4.203182,g570_#6
4.759337,-2.0264723,g572_#1
10.427149,4.5007486,g572_#2
6.597146,7.7118845,g572_#3
7.29892,3.5287476,g572_#5
-1.4197352,-1.2729765,g572_#6
-11.147844,-3.9814339,g572_#7
-5.4784803,-5.264486,g583_#1
9.724195,8.120702,g583_#2
2.2877247,-6.501633,g583_#3
-7.0982633,-3.9234853,g583_#4
4.1918144,-7.4330535,g583_#5
-2.7165506,-2.2255173,g583_#6
0.49883988,-1.0051914,g595_#1
3.9990766,7.4501076,g595_#2
-1.5305485,-2.7208858,g595_#3
1.630592,2.9217174,g595_#4
1.2578136,-0.9844897,g595_#5
4.821825,6.924603,g595_#6
2.660264,-7.7919793,g596_#1
2.9793386,2.2092326,g596_#2
3.926742,3.3213654,g596_#3
-9.640274,-7.5987625,g596_#4
-5.086388,-3.9530416,g596_#5
-3.4037778,-0.7224938,g596_#6
-7.7683578,-4.0757093,g600_#1
8.767373,6.5271287,g600_#2
-2.010578,-3.8331246,g600_#3
-7.682399,-8.352191,g600_#4
-4.5854225,-11.371344,g600_#5
4.586491,-3.3791513,g74_#1
4.654183,-8.941394,g74_#2
-3.367491,-0.39478794,g74_#3
11.050224,4.012694,g74_#4
-6.5296717,-10.148065,g74_#5
2.1256936,6.450829,g74_#6
