X,Y,Name
-0.13327467,-3.6717958,g101_#1
0.777464,-8.009926,g101_#2
-5.154909,-4.204704,g101_#3
-4.35281,4.56194,g101_#4
-5.7700596,-6.726962,g101_#5
-3.502691,4.8584824,g101_#6
3.557971,-0.66840774,g117_#1
6.55133,2.1344805,g117_#2
4.862871,1.6267756,g117_#3
5.351332,-3.114297,g117_#4
-3.0968378,4.966009,g117_#5
-1.1478817,6.2625947,g117_#6
-0.14263248,-1.4165664,g120_#1
-1.9871848,-7.8232064,g120_#2
-1.2242131,-4.3518643,g120_#3
8.67962,1.4497924,g120_#4
-1.1770508,-7.4999714,g120_#5
-6.061454,1.662603,g128_#1
8.270932,0.18408728,g128_#2
-0.9926227,-1.2863405,g128_#3
-2.605804,-8.425379,g128_#4
5.1885114,-3.1989985,g128_#5
-1.3820527,1.171368,g137_#1
0.72129107,4.426865,g137_#2
5.673211,-1.0342953,g137_#3
4.8786254,-2.450427,g137_#4
-3.0823383,0.28024462,g137_#5
-1.3368044,-9.277312,g13_#1
0.74067044,-6.3033805,g13_#2
-0.43117598,-4.9586287,g13_#3
-0.26173472,-9.470216,g13_#4
8.259148,-0.035849016,g13_#5
-1.7323769,-8.636473,g13_#6
-1.66163,-8.3056,g150_#1
-6.708244,1.9743816,g150_#2
3.306405,2.8176014,g150_#3
-1.119298,-1.2593588,g150_#4
8.607006,1.5652918,g150_#5
-1.8512418,-10.027154,g150_#6
-2.5045977,-9.216619,g161_#1
5.5522685,-5.872372,g161_#2
-1.8047215,-2.7844129,g161_#3
2.4679906,4.337994,g161_#4
-3.1113288,-7.362671,g161_#5
-6.8624663,1.3906544,g168_#1
2.2653236,3.2317712,g168_#2
-5.088649,1.607876,g168_#3
-6.6029778,1.9772838,g168_#4
7.7556996,-3.2291207,g168_#5
-1.860777,0.06923616,g168_#6
-1.6300132,0.052844923,g171_#1
3.9793034,3.5344567,g171_#2
-3.030075,-3.7204647,g171_#3
4.815078,3.5771587,g171_#4
-4.533989,5.6806345,g171_#5
-1.4945577,-7.654163,g171_#6
-1.6895905,-5.4423027,g171_#7
6.835393,2.4842207,g172_#1
-6.9291005,1.983334,g172_#2
-0.8676458,5.550578,g172_#3
-1.9538156,-8.938539,g172_#4
-5.4984818,-0.7762336,g173_#1
-2.9769113,5.0879617,g173_#2
4.1882772,4.943929,g173_#3
-5.1815763,0.42960083,g173_#4
-5.995713,-0.79988825,g173_#5
6.002866,-5.4209075,g173_#6
4.866672,3.862605,g175_#1
-0.6056978,-2.3106403,g175_#2
-6.8501043,0.53828824,g175_#3
-0.64467347,-10.1930275,g175_#4
-3.6691918,3.4566863,g185_#1
-2.3707736,-9.63328,g185_#2
3.5410008,4.689348,g185_#3
-3.1050575,-3.7459195,g185_#4
4.244149,-4.1637387,g185_#5
-3.6691976,3.4566216,g185_#6
-5.630688,-7.500556,g215_#1
0.13070914,0.26860172,g215_#2
-1.3165046,2.3473194,g215_#3
3.99206,3.2997644,g215_#4
0.6167041,3.375662,g215_#5
7.60638,-4.8930116,g215_#6
-2.326063,-8.037751,g470_#1
-2.0702267,-7.1398773,g470_#2
-0.3677796,-8.236865,g470_#3
4.707423,-3.7369244,g503_#1
-0.9346911,-8.677643,g503_#2
3.4218054,1.2539779,g503_#3
6.0244617,1.9672793,g503_#4
-6.7143764,0.57265824,g503_#5
-0.18537927,4.311466,g503_#6
0.7850543,-6.223578,g530_#1
5.6521544,-1.2458676,g530_#2
-6.2832465,-1.0275282,g530_#3
0.2523012,0.9965931,g530_#4
-1.1270573,6.2867146,g530_#6
-1.7644306,-2.699262,g546_#1
-0.117168546,5.064174,g546_#2
4.7286873,4.374898,g546_#3
-1.1418185,-8.374367,g546_#4
-3.8655393,-9.459637,g546_#5
-0.7403036,2.9772298,g546_#6
-5.690238,-2.7950675,g563_#1
4.41488,-1.2543112,g563_#2
8.503386,1.3861114,g563_#3
7.615051,-3.9075518,g563_#4
-1.7787709,-9.519906,g563_#5
0.066215135,4.1893883,g563_#6
3.1689124,3.4289036,g570_#1
0.7823335,1.7017004,g570_#2
4.2230473,2.0907712,g570_#3
-0.83300555,-9.609194,g570_#4
6.0659723,3.4018264,g570_#5
-1.3334466,-9.976878,g570_#6
0.9384285,-9.241717,g572_#1
0.7823589,1.7017665,g572_#2
4.3421507,4.973023,g572_#3
-0.90621406,-7.7645335,g572_#5
6.2215734,-5.046217,g572_#6
-1.0412432,-9.039828,g572_#7
-1.5302944,2.2441554,g583_#1
0.75867075,-4.843947,g583_#2
-6.070245,-1.4735812,g583_#3
4.8074374,-0.26822382,g583_#4
-0.5002122,-7.888105,g583_#5
4.522483,0.3637484,g583_#6
5.140253,4.078754,g595_#1
-5.683247,1.5881861,g595_#2
-5.4933944,-3.2707913,g595_#3
0.5255815,-5.636614,g595_#4
-1.8356698,3.9812336,g595_#5
-0.030524028,-6.3729053,g595_#6
7.6509643,-4.6213393,g596_#1
-3.0530372,0.26295242,g596_#2
-1.3279588,5.4426403,g596_#3
7.0764637,2.6911137,g596_#4
-0.37462285,-0.08891614,g596_#5
-0.89729077,-0.9780242,g596_#6
-0.16248202,-8.662666,g600_#1
3.6706378,1.5922899,g600_#2
-5.2682886,3.7722926,g600_#3
6.2851458,-4.934337,g600_#4
-1.4766732,-5.363516,g600_#5
-4.6790223,5.8915176,g74_#1
-4.5990314,-6.1599793,g74_#2
-2.6148393,-8.7050495,g74_#3
-5.588054,-7.485431,g74_#4
-0.33796808,-9.030528,g74_#5
-5.928494,-2.0373306,g74_#6
