X,Y,Name
3.377061,2.0525358,g101_#1
7.6689453,4.9263883,g101_#2
10.879314,0.8101774,g101_#3
1.3705764,-7.201241,g101_#4
11.805665,4.5919795,g101_#5
1.0189443,-6.6747317,g101_#6
-7.9545093,-4.003486,g117_#1
-4.217233,0.22952124,g117_#2
-6.157827,-2.1439905,g117_#3
-9.303261,-0.46681276,g117_#4
0.6817012,-6.4680777,g117_#5
-2.943565,-7.757017,g117_#6
2.1099446,0.7786269,g120_#1
7.0088015,3.386024,g120_#2
5.6753626,5.7730336,g120_#3
7.736092,-2.198852,g120_#4
8.211506,3.2163303,g120_#5
-1.367101,3.4354825,g128_#1
8.862766,-1.6130006,g128_#2
2.5881145,-0.049835496,g128_#3
8.648477,1.5831953,g128_#4
-9.374873,-0.45009193,g128_#5
2.1447842,-4.090716,g137_#1
-2.7517242,-5.556911,g137_#2
-5.178415,-7.3377905,g137_#3
-9.216838,-1.3518313,g137_#4
2.6430283,-1.9678404,g137_#5
8.609656,2.047636,g13_#1
5.114481,2.8959343,g13_#2
5.2284503,4.2657056,g13_#3
8.082511,1.6386604,g13_#4
9.062027,-1.4888142,g13_#5
8.564693,2.9722235,g13_#6
7.515504,2.5108428,g150_#1
-1.4677988,4.136108,g150_#2
-5.108772,-3.478522,g150_#3
2.3600898,0.25057608,g150_#4
7.6267076,-2.2913084,g150_#5
8.134899,2.590785,g150_#6
9.304815,2.9014244,g161_#1
-8.9450245,3.1779566,g161_#2
4.565162,-0.3423693,g161_#3
-3.8827477,-4.2215986,g161_#4
9.082423,0.6930931,g161_#5
-0.9043233,4.361552,g168_#1
-2.6112795,-3.8526237,g168_#2
1.2745106,3.4948378,g168_#3
-1.1879973,3.8358934,g168_#4
-5.801047,0.85934776,g168_#5
0.45880255,0.009312899,g168_#6
0.81658906,-0.5210901,g171_#1
-4.189874,-3.0737915,g171_#2
5.3186793,-2.260854,g171_#3
-3.964648,-2.2081656,g171_#4
1.0640141,-8.575569,g171_#5
8.804542,2.5221026,g171_#6
6.459367,5.3409486,g171_#7
-3.7167292,0.14178504,g172_#1
-1.3596193,4.180798,g172_#2
-2.146494,-7.1563063,g172_#3
7.471591,1.94529,g172_#4
0.9820702,4.487921,g173_#1
0.47274953,-6.494905,g173_#2
-2.2246647,-2.165721,g173_#3
1.485631,6.4983344,g173_#4
0.85493916,4.8030457,g173_#5
-8.66806,2.6728292,g173_#6
-3.673782,-2.105027,g175_#1
3.280618,0.3767866,g175_#2
-0.4592308,4.8943,g175_#3
8.038252,1.0466837,g175_#4
-0.18453296,-9.200997,g185_#1
7.718787,3.4071877,g185_#2
-2.0605056,-2.5741262,g185_#3
5.3701296,-2.4095414,g185_#4
-10.164326,0.7551988,g185_#5
-0.18392584,-9.201019,g185_#6
11.10903,4.9147964,g215_#1
0.8597896,-2.0612166,g215_#2
1.3072823,-4.251896,g215_#3
-4.3187985,-3.1059182,g215_#4
-1.144481,-4.6616917,g215_#5
-6.586177,2.847364,g215_#6
7.5100203,1.5682037,g470_#1
6.7109127,1.4828287,g470_#2
7.3566065,3.7543957,g470_#3
-9.854401,0.20743097,g503_#1
8.842231,3.6486201,g503_#2
-6.5156803,-3.4423459,g503_#3
-5.3870482,-0.37635237,g503_#4
-0.2791574,4.6914387,g503_#5
-1.7091087,-5.63623,g503_#6
4.936808,3.0190327,g530_#1
-5.2577376,-7.3843427,g530_#2
1.0654576,5.0760245,g530_#3
0.18629724,-1.9676573,g530_#4
-2.979361,-7.7496467,g530_#6
4.431092,-0.37015572,g546_#1
-2.4660914,-6.3421693,g546_#2
-3.0674682,-2.0296173,g546_#3
9.193936,3.358113,g546_#4
9.101728,5.1586895,g546_#5
0.23610812,-4.8174167,g546_#6
2.5904458,5.013535,g563_#1
-7.8142943,-5.3832397,g563_#2
7.8961596,-2.1499758,g563_#3
-6.3258467,1.9314985,g563_#4
6.8455915,2.5526164,g563_#5
-1.7342486,-5.440847,g563_#6
-4.1761255,-3.8037703,g570_#1
-0.56146896,-2.4650838,g570_#2
-5.5232124,-4.253502,g570_#3
6.9175797,2.1419115,g570_#4
-3.9093459,-0.89930826,g570_#5
9.201447,1.8614568,g570_#6
7.146083,0.43465662,g572_#1
-0.56147015,-2.4651313,g572_#2
-2.3730488,-2.0221143,g572_#3
8.035188,2.2348435,g572_#5
-8.412045,2.1337407,g572_#6
8.45819,3.8444605,g572_#7
1.3946403,-4.137357,g583_#1
3.7155824,3.6891963,g583_#2
1.5608741,5.76891,g583_#3
-7.3460145,-5.0840645,g583_#4
6.922974,2.993299,g583_#5
-7.192882,-4.59936,g583_#6
-3.3819444,-1.7759439,g595_#1
0.0075052357,3.464084,g595_#2
2.9628084,4.919362,g595_#3
4.671714,3.4623802,g595_#4
-1.1463249,-6.3384137,g595_#5
5.1294165,2.1330507,g595_#6
-6.4394894,2.4410706,g596_#1
2.6308,-1.9977639,g596_#2
-2.0420327,-7.4930773,g596_#3
-3.473682,0.23996907,g596_#4
1.2435114,-2.2188685,g596_#5
2.181282,-0.23712061,g596_#6
7.978765,3.9089837,g600_#1
-6.0421767,-3.1869416,g600_#2
-0.07667812,1.6281959,g600_#3
-8.303565,2.0099125,g600_#4
6.1152987,5.235779,g600_#5
1.2779281,-8.757722,g74_#1
11.053999,2.7416296,g74_#2
7.6327305,2.9298823,g74_#3
11.08832,4.8490252,g74_#4
9.382615,2.3834395,g74_#5
1.8676416,5.078267,g74_#6
