Name,X,Y
ctg7180000067077_Component#_1,-25.143263,1.6634597
ctg7180000067157_Component#_1,-2.3945806,62.46032
ctg7180000067168_Component#_1,12.233425,1.8904519
ctg7180000067168_Component#_2,34.88134,7.150045
ctg7180000067180_Component#_1,0.3986563,74.25543
ctg7180000067181_Component#_1,2.5924306,72.12847
ctg7180000067183_Component#_1,-6.5491676,69.39177
ctg7180000067187_Component#_1,3.0486417,1.9886097
ctg7180000067187_Component#_2,-4.2656517,69.28111
ctg7180000067194_Component#_1,8.2247715,4.5516524
ctg7180000067212_Component#_1,16.326256,2.1888921
ctg7180000067223_Component#_1,-11.111001,-4.075452
ctg7180000067223_Component#_2,-8.103923,-2.1402063
ctg7180000067227_Component#_1,27.826202,0.45122465
ctg7180000067228_Component#_1,4.3505087,1.3125063
ctg7180000067228_Component#_3,3.592111,3.5479112
ctg7180000067228_Component#_4,-26.89196,-2.159198
ctg7180000067233_Component#_1,12.492231,7.263358
ctg7180000067238_Component#_1,-7.611451,-4.7957225
ctg7180000067238_Component#_2,11.95384,-0.16180366
ctg7180000067240_Component#_1,4.595418,4.8139024
ctg7180000067241_Component#_1,22.327068,-2.3426397
ctg7180000067243_Component#_1,-23.619774,-2.476126
ctg7180000067245_Component#_1,22.0908,6.782245
ctg7180000067247_Component#_1,18.733868,5.4494066
ctg7180000067264_Component#_1,-6.8874965,72.24012
ctg7180000067271_Component#_1,38.69218,11.922147
ctg7180000067271_Component#_2,21.14534,-3.1279001
ctg7180000067272_Component#_1,-1.8945053,-14.601584
ctg7180000067272_Component#_2,-6.9960585,73.37722
ctg7180000067280_Component#_1,-11.145696,0.37664226
ctg7180000067280_Component#_2,-22.230228,2.257287
ctg7180000067290_Component#_1,-8.069369,-4.2881503
ctg7180000067290_Component#_2,12.650223,7.2325463
ctg7180000067309_Component#_1,-24.14925,3.4158661
ctg7180000067321_Component#_1,31.57132,9.798272
ctg7180000067325_Component#_1,-7.218136,68.34982
ctg7180000067326_Component#_1,-7.1861167,72.17525
ctg7180000067344_Component#_1,-29.410252,6.9877477
ctg7180000067361_Component#_1,9.674837,5.498929
ctg7180000067361_Component#_2,8.463135,4.592248
ctg7180000067363_Component#_1,-1.9645163,62.584793
ctg7180000067365_Component#_1,-29.294832,5.497872
ctg7180000067382_Component#_1,-8.787984,0.11971441
ctg7180000067382_Component#_2,27.291733,2.835796
ctg7180000067397_Component#_1,-8.709855,-2.5446951
ctg7180000067398_Component#_1,19.104656,5.91035
ctg7180000067398_Component#_2,-4.2502337,71.42396
ctg7180000067403_Component#_1,2.6120336,-1.224343
ctg7180000067405_Component#_1,2.3500824,71.08468
ctg7180000067411_Component#_1,38.43186,8.661881
ctg7180000067413_Component#_1,-21.768736,-0.12597956
ctg7180000067416_Component#_1,-6.9800873,-8.711349
ctg7180000067416_Component#_2,-7.475865,-4.855085
ctg7180000067417_Component#_1,-9.567348,2.493628
ctg7180000067417_Component#_2,-32.42443,8.229491
ctg7180000067419_Component#_2,-23.888569,-3.262132
ctg7180000067423_Component#_1,28.78713,6.020363
ctg7180000067434_Component#_1,19.544859,-5.4572663
ctg7180000067441_Component#_1,4.5797606,72.04482
